etaBins,16.0,18.5,21.5,25.0,28.5,32.5,37.5,42.5,51.0,64.5,81.0,105.0,135.0,175.0,250.0,350.0,475.0,650.0,875.0,1250.0,1750.0,2250.0,2750.0,3250.0,3750.0,4250.0,4750.0,7500.0
0.0,0.9818181818181818,1.0472222222222223,1.0075,1.025,1.045,1.0041666666666667,1.01875,1.0187499999999998,1.0208333333333333,1.0166666666666666,0.9906250000000001,0.9931818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.261,1.06125,1.0284090909090908,1.0142857142857142,1.0162499999999999,1.028125,1.0472222222222223,1.0375,1.00375,1.0274999999999999,1.0125,1.015625,0.9925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.522,1.075,1.0407894736842105,1.053125,1.0328125,1.0562500000000001,1.025,1.0319444444444443,1.0,1.0,1.0305555555555554,1.003125,1.0319444444444443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.783,1.096875,1.0274999999999999,1.05,0.9916666666666667,1.046875,1.0208333333333333,1.0083333333333333,1.0395833333333333,1.0171875,0.9854166666666667,1.0041666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.044,0.9833333333333334,1.0437500000000002,1.0166666666666666,0.9964285714285714,1.05625,1.05,1.0109375,1.0,1.034375,1.0229166666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.305,1.0285714285714285,1.06875,1.08125,1.1291666666666667,1.0374999999999999,1.0333333333333334,1.0916666666666668,1.0625,1.0583333333333333,1.0166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.566,1.1062500000000002,1.0666666666666667,1.078125,1.1111111111111112,0.0,1.0484375000000001,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.74,0.9750000000000001,1.0958333333333334,1.0625,1.075,1.125,0.94375,0.0,0.0,1.009375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.93,1.1,0.9812500000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.043,1.10625,1.09375,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.172,0.9812499999999997,1.0166666666666666,1.046875,1.0375,1.0218749999999999,1.053125,1.05,0.0,1.0218749999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.5,0.9925,1.0104166666666665,0.9357142857142857,1.1017857142857144,1.0291666666666666,1.0625,1.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.964,0.9770833333333336,1.0115384615384615,1.08125,1.0458333333333334,1.1062500000000002,1.0687499999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
