# L5 flavor corrections for IC5 algorithm 
# [gJ] (gluons from diJet mixture) 
# [bJ] (b quark from diJet mixture) 
# [cJ] (c quark from diJet mixture) 
# [qJ] (uds quarks from diJet mixture) 
# [udJ] (ud quark from diJet mixture) 
# [uJ] (u quark from diJet mixture) 
# [dJ] (d quark from diJet mixture) 
# [gT] (gluons from ttbar events) 
# [qT] (uds quarks from ttbar events) 
# [cT] (c quark from ttbar events) 
# [bT] (b quark from ttbar events) 
# energy mapping: ptGen = (pt - p5)/p6 
# parametrization: p2+p3*logPt+p4*logPt^2, constant if Pt<p0 or Pt>p1 
#etamin  etamax  #ofparameters  ptmin  ptmax    p2         p3        p4     mapping: p5        p6 
[aJ]
{1 JetEta 1 JetPt ([0]+[1]*log10(x)+[2]*pow(log10(x),2)+[3]*pow(log10(x),3)+[4]*pow(log10(x),4)) Correction L5Flavor}
     -0.783        -0.0           7        20.0     10000.0     0.9077175     0.1754246    -0.1269958     0.0395534    -0.0043888 
        0.0       0.783           7        20.0     10000.0     0.9077175     0.1754246    -0.1269958     0.0395534    -0.0043888 
      0.783       1.305           7        20.0      3500.0     0.8854191     0.2235161    -0.1649947     0.0527961    -0.0060596 
      1.305       1.653           7        20.0      2000.0     0.6750607     0.6143185    -0.4393636     0.1389237    -0.0161116 
      1.653        1.93           7        20.0      1500.0     0.8962064     0.1832751    -0.1234462     0.0368791    -0.0039093 
       1.93       2.322           7        20.0      1000.0     1.0427826    -0.1534368      0.136055    -0.0444174      0.004976 
      2.322         2.5           7        20.0       550.0     1.0419699    -0.1417124     0.0996282    -0.0176113    -0.0006199 
        2.5       2.853           7        20.0       550.0     1.5972532     -1.347544     1.0618811    -0.3518613     0.0421055 
      2.853       3.139           7        20.0       400.0     2.4512305     -3.147338     2.4650615    -0.8293436     0.1020312 
      3.139       3.489           7        20.0       300.0     6.3303483   -11.8921669     9.7556519    -3.4912316     0.4613672 
      3.489       5.191           7        20.0       200.0      1.133248    -0.3114633     0.2529089    -0.0782145     0.0075401 
[uJ]
{1 JetEta 1 JetPt ([0]+[1]*log10(x)+[2]*pow(log10(x),2)+[3]*pow(log10(x),3)+[4]*pow(log10(x),4)) Correction L5Flavor}
     -5.191      -3.489           7        20.0       200.0     0.4312605     1.2703998    -1.1632859     0.4828262    -0.0745293 
     -3.489      -3.139           7        20.0       300.0     1.6596072    -1.5572204     1.1831513     -0.371371     0.0418125 
