# L5 flavor corrections for IC5 algorithm 
# [gJ] (gluons from diJet mixture) 
# [bJ] (b quark from diJet mixture) 
# [cJ] (c quark from diJet mixture) 
# [qJ] (uds quarks from diJet mixture) 
# [udJ] (ud quark from diJet mixture) 
# [uJ] (u quark from diJet mixture) 
# [dJ] (d quark from diJet mixture) 
# [gT] (gluons from ttbar events) 
# [qT] (uds quarks from ttbar events) 
# [cT] (c quark from ttbar events) 
# [bT] (b quark from ttbar events) 
# energy mapping: ptGen = (pt - p5)/p6 
# parametrization: p2+p3*logPt+p4*logPt^2, constant if Pt<p0 or Pt>p1 
#etamin  etamax  #ofparameters  ptmin  ptmax    p2         p3        p4     mapping: p5        p6 
[aJ]
{1 JetEta 1 JetPt ([0]+[1]*log10(x)+[2]*pow(log10(x),2)+[3]*pow(log10(x),3)+[4]*pow(log10(x),4)) Correction L5Flavor}
     -1.305      -0.783           7        20.0      2000.0     1.0240246      0.102856    -0.1517336     0.0658698    -0.0091399 
     -0.783        -0.0           7        20.0      2000.0     1.6711872    -1.1310769     0.7130826     -0.198252     0.0204915 
        0.0       0.783           7        20.0      2000.0     1.6711872    -1.1310769     0.7130826     -0.198252     0.0204915 
      0.783       1.305           7        20.0      2000.0     1.0240246      0.102856    -0.1517336     0.0658698    -0.0091399 
      1.305       1.653           7        20.0      1500.0     1.9491562    -1.7245054     1.1685708    -0.3465526     0.0379422 
      1.653        1.93           7        20.0       750.0     2.2793171     -2.321977      1.563661    -0.4610515     0.0502805 
       1.93       2.322           7        20.0       550.0     1.9670095    -1.8324467      1.323514    -0.4308802     0.0535569 
      2.322         2.5           7        20.0       400.0    -3.3851113     9.7116891     -7.934209     2.8307102    -0.3716072 
        2.5       2.853           7        20.0       400.0    -0.0633282     2.4029806    -2.0883413     0.8103941    -0.1162223 
      2.853       3.139           7        20.0       300.0     7.3147676   -13.8798564    11.1729027    -3.9126996     0.5049008 
      3.139       3.489           7        20.0       200.0     5.1137566    -9.8648753     8.6245082    -3.2781278     0.4597731 
      3.489       5.191           7        20.0       150.0     0.2666114     1.7244778    -1.5651088     0.6394852    -0.0965332 
[uJ]
{1 JetEta 1 JetPt ([0]+[1]*log10(x)+[2]*pow(log10(x),2)+[3]*pow(log10(x),3)+[4]*pow(log10(x),4)) Correction L5Flavor}
     -5.191      -3.489           7        20.0       200.0     3.7234101    -6.7263858     5.9569534    -2.2851205     0.3231912 
     -3.489      -3.139           7        20.0       300.0     4.2481269    -7.8453092     6.7357519    -2.5031439      0.343667 
     -3.139      -2.853           7        20.0       400.0     2.6492715    -3.7104594     2.7867934    -0.8648792     0.0947783 
     -2.853        -2.5           7        20.0       550.0     0.7546493     0.4560366    -0.5204925     0.2608315    -0.0440164 
       -2.5      -2.322           7        20.0       750.0     1.9912036    -2.1662884     1.5977689    -0.4989455      0.056861 
     -2.322       -1.93           7        20.0      1000.0     3.0918218    -4.0628773     2.7905078    -0.8242454     0.0894188 
      -1.93      -1.653           7        20.0      1500.0     2.9626191    -3.6902586     2.4639825    -0.7100451     0.0753454 
     -1.653      -1.305           7        20.0      1500.0     1.9859886    -1.8329306     1.1725473    -0.3200845     0.0320847 
     -1.305      -0.783           7        20.0      2000.0     2.2878682    -2.4355169     1.6124814    -0.4576515     0.0476265 
     -0.783        -0.0           7        20.0      2000.0     2.0245549    -1.9122715     1.2559604     -0.354732     0.0367681 
        0.0       0.783           7        20.0      2000.0     2.0245549    -1.9122715     1.2559604     -0.354732     0.0367681 
      0.783       1.305           7        20.0      2000.0     2.2878682    -2.4355169     1.6124814    -0.4576515     0.0476265 
      1.305       1.653           7        20.0      1500.0     1.9859886    -1.8329306     1.1725473    -0.3200845     0.0320847 
      1.653        1.93           7        20.0      1500.0     2.9626191    -3.6902586     2.4639825    -0.7100451     0.0753454 
       1.93       2.322           7        20.0      1000.0     3.0918218    -4.0628773     2.7905078    -0.8242454     0.0894188 
      2.322         2.5           7        20.0       750.0     1.9912036    -2.1662884     1.5977689    -0.4989455      0.056861 
        2.5       2.853           7        20.0       550.0     0.7546493     0.4560366    -0.5204925     0.2608315    -0.0440164 
      2.853       3.139           7        20.0       400.0     2.6492715    -3.7104594     2.7867934    -0.8648792     0.0947783 
      3.139       3.489           7        20.0       300.0     4.2481269    -7.8453092     6.7357519    -2.5031439      0.343667 
      3.489       5.191           7        20.0       200.0     3.7234101    -6.7263858     5.9569534    -2.2851205     0.3231912 
[dJ]
{1 JetEta 1 JetPt ([0]+[1]*log10(x)+[2]*pow(log10(x),2)+[3]*pow(log10(x),3)+[4]*pow(log10(x),4)) Correction L5Flavor}
     -5.191      -3.489           7        20.0       200.0     2.6122582      -4.26713     3.9670074    -1.5879491     0.2342785 
     -3.489      -3.139           7        20.0       400.0     3.5425622    -5.6204524     4.3363907    -1.4213253     0.1690896 
     -3.139      -2.853           7        20.0       550.0     2.2967249    -3.1066805     2.4671326    -0.8240098     0.1006806 
     -2.853        -2.5           7        20.0       750.0     2.4752312    -3.2868461     2.4749882    -0.7849064        0.0904 
       -2.5      -2.322           7        20.0      1000.0     1.8260864     -1.809065     1.3176827    -0.4052215      0.045739 
     -2.322       -1.93           7        20.0      1500.0     2.5429924    -2.9107272     1.9153926    -0.5373521     0.0550514 
      -1.93      -1.653           7        20.0      1500.0      1.404285     -0.689547     0.3481693    -0.0617675     0.0024252 
     -1.653      -1.305           7        20.0      2000.0     1.7414097    -1.2544339     0.6972498    -0.1573999     0.0122317 
     -1.305      -0.783           7        20.0      2000.0     2.1779562    -2.1823952     1.4096874      -0.38862      0.039105 
     -0.783        -0.0           7        20.0      2000.0     1.9638919    -1.7519142     1.1173597    -0.3061725     0.0307969 
        0.0       0.783           7        20.0      2000.0     1.9638919    -1.7519142     1.1173597    -0.3061725     0.0307969 
      0.783       1.305           7        20.0      2000.0     2.1779562    -2.1823952     1.4096874      -0.38862      0.039105 
      1.305       1.653           7        20.0      2000.0     1.7414097    -1.2544339     0.6972498    -0.1573999     0.0122317 
      1.653        1.93           7        20.0      1500.0      1.404285     -0.689547     0.3481693    -0.0617675     0.0024252 
       1.93       2.322           7        20.0      1500.0     2.5429924    -2.9107272     1.9153926    -0.5373521     0.0550514 
      2.322         2.5           7        20.0      1000.0     1.8260864     -1.809065     1.3176827    -0.4052215      0.045739 
        2.5       2.853           7        20.0       750.0     2.4752312    -3.2868461     2.4749882    -0.7849064        0.0904 
      2.853       3.139           7        20.0       550.0     2.2967249    -3.1066805     2.4671326    -0.8240098     0.1006806 
      3.139       3.489           7        20.0       400.0     3.5425622    -5.6204524     4.3363907    -1.4213253     0.1690896 
      3.489       5.191           7        20.0       200.0     2.6122582      -4.26713     3.9670074    -1.5879491     0.2342785 
[gJ]
{1 JetEta 1 JetPt ([0]+[1]*log10(x)+[2]*pow(log10(x),2)+[3]*pow(log10(x),3)+[4]*pow(log10(x),4)) Correction L5Flavor}
     -5.191      -3.489           7        20.0       200.0     6.3581352   -13.1833379    11.9460322    -4.7286244     0.6930576 
     -3.489      -3.139           7        20.0       300.0     -0.281628     3.2944838     -3.188519     1.3657024    -0.2147122 
     -3.139      -2.853           7        20.0       300.0    -1.0866819      4.772066    -4.0915761     1.5617705    -0.2215923 
     -2.853        -2.5           7        20.0       550.0     0.7890549     0.3336412    -0.1956177     0.0581406     -0.007007 
       -2.5      -2.322           7        20.0       550.0     0.3600605      1.588886     -1.393182     0.5262305    -0.0720311 
     -2.322       -1.93           7        20.0       750.0     1.6984878    -0.9939846     0.4759595     -0.077742     0.0014865 
      -1.93      -1.653           7        20.0      1500.0     1.6273036    -0.9730655     0.5498124    -0.1308326     0.0112015 
     -1.653      -1.305           7        20.0      1500.0     1.8889271    -1.5076823     0.9544187    -0.2652127     0.0275869 
     -1.305      -0.783           7        20.0      2000.0     1.5834333    -0.9521249     0.5850595    -0.1587426     0.0162238 
     -0.783        -0.0           7        20.0      2000.0     1.6059794    -0.9763049     0.5936949    -0.1596028     0.0160749 
        0.0       0.783           7        20.0      2000.0     1.6059794    -0.9763049     0.5936949    -0.1596028     0.0160749 
      0.783       1.305           7        20.0      2000.0     1.5834333    -0.9521249     0.5850595    -0.1587426     0.0162238 
      1.305       1.653           7        20.0      1500.0     1.8889271    -1.5076823     0.9544187    -0.2652127     0.0275869 
      1.653        1.93           7        20.0      1500.0     1.6273036    -0.9730655     0.5498124    -0.1308326     0.0112015 
       1.93       2.322           7        20.0       750.0     1.6984878    -0.9939846     0.4759595     -0.077742     0.0014865 
      2.322         2.5           7        20.0       550.0     0.3600605      1.588886     -1.393182     0.5262305    -0.0720311 
        2.5       2.853           7        20.0       550.0     0.7890549     0.3336412    -0.1956177     0.0581406     -0.007007 
      2.853       3.139           7        20.0       300.0    -1.0866819      4.772066    -4.0915761     1.5617705    -0.2215923 
      3.139       3.489           7        20.0       300.0     -0.281628     3.2944838     -3.188519     1.3657024    -0.2147122 
      3.489       5.191           7        20.0       200.0     6.3581352   -13.1833379    11.9460322    -4.7286244     0.6930576 
[sJ]
{1 JetEta 1 JetPt ([0]+[1]*log10(x)+[2]*pow(log10(x),2)+[3]*pow(log10(x),3)+[4]*pow(log10(x),4)) Correction L5Flavor}
     -5.191      -3.489           7        20.0       120.0   -23.8418434    60.5694435   -55.3081304    22.3566393    -3.3708406 
     -3.489      -3.139           7        20.0       200.0     7.4924219   -14.2402039    11.2999932    -3.8979261     0.4966381 
     -3.139      -2.853           7        20.0       200.0    15.1319045   -33.5527966    29.4061976   -11.3472202     1.6307153 
     -2.853        -2.5           7        20.0       300.0     3.2713064    -4.7114665     3.4630045    -1.0938776     0.1267942 
       -2.5      -2.322           7        20.0       300.0      2.862787    -3.9502684     2.9555803    -0.9415484     0.1084165 
     -2.322       -1.93           7        20.0       550.0     2.9277819    -3.8679308     2.8215431    -0.9012279     0.1071787 
      -1.93      -1.653           7        20.0       750.0     0.2373696     1.7207776    -1.4642961     0.5362088     -0.070936 
     -1.653      -1.305           7        20.0      1500.0     2.2431351    -2.4775939     1.7863082    -0.5610469     0.0651397 
     -1.305      -0.783           7        20.0      1500.0     2.8528336    -3.6003345     2.5366969    -0.7727314     0.0862877 
     -0.783        -0.0           7        20.0      2000.0     2.3843453     -2.617041     1.7956952    -0.5318849     0.0576117 
        0.0       0.783           7        20.0      2000.0     2.3843453     -2.617041     1.7956952    -0.5318849     0.0576117 
      0.783       1.305           7        20.0      1500.0     2.8528336    -3.6003345     2.5366969    -0.7727314     0.0862877 
      1.305       1.653           7        20.0      1500.0     2.2431351    -2.4775939     1.7863082    -0.5610469     0.0651397 
      1.653        1.93           7        20.0       750.0     0.2373696     1.7207776    -1.4642961     0.5362088     -0.070936 
       1.93       2.322           7        20.0       550.0     2.9277819    -3.8679308     2.8215431    -0.9012279     0.1071787 
      2.322         2.5           7        20.0       300.0      2.862787    -3.9502684     2.9555803    -0.9415484     0.1084165 
        2.5       2.853           7        20.0       300.0     3.2713064    -4.7114665     3.4630045    -1.0938776     0.1267942 
      2.853       3.139           7        20.0       200.0    15.1319045   -33.5527966    29.4061976   -11.3472202     1.6307153 
      3.139       3.489           7        20.0       200.0     7.4924219   -14.2402039    11.2999932    -3.8979261     0.4966381 
      3.489       5.191           7        20.0       120.0   -23.8418434    60.5694435   -55.3081304    22.3566393    -3.3708406 
[udJ]
{1 JetEta 1 JetPt ([0]+[1]*log10(x)+[2]*pow(log10(x),2)+[3]*pow(log10(x),3)+[4]*pow(log10(x),4)) Correction L5Flavor}
     -5.191      -3.489           7        20.0       300.0     -1.307921     5.0164481    -4.2064517     1.5814412    -0.2223714 
     -3.489      -3.139           7        20.0       400.0     1.9438463    -2.2469098     1.7114687    -0.5291187      0.057265 
     -3.139      -2.853           7        20.0       550.0     3.1414158    -4.9402164     3.9251902    -1.3270106     0.1641427 
     -2.853        -2.5           7        20.0       750.0     2.2040166    -2.6980998     2.0068295    -0.6229783     0.0698229 
       -2.5      -2.322           7        20.0      1000.0     2.2408026    -2.7112796     2.0385231    -0.6555507     0.0775562 
     -2.322       -1.93           7        20.0      1500.0     2.5919801    -3.0095062      1.982703    -0.5561681     0.0568725 
      -1.93      -1.653           7        20.0      1500.0     2.1380572    -2.0952578     1.3343334    -0.3623735      0.036061 
     -1.653      -1.305           7        20.0      2000.0     1.8041629    -1.4200186     0.8408465    -0.2077299      0.018418 
     -1.305      -0.783           7        20.0      2000.0     2.1919794    -2.2264226     1.4502826    -0.4037369     0.0411011 
     -0.783        -0.0           7        20.0      2500.0      1.927857    -1.6996635     1.0904027    -0.3002538     0.0303306 
        0.0       0.783           7        20.0      2500.0      1.927857    -1.6996635     1.0904027    -0.3002538     0.0303306 
      0.783       1.305           7        20.0      2000.0     2.1919794    -2.2264226     1.4502826    -0.4037369     0.0411011 
      1.305       1.653           7        20.0      2000.0     1.8041629    -1.4200186     0.8408465    -0.2077299      0.018418 
      1.653        1.93           7        20.0      1500.0     2.1380572    -2.0952578     1.3343334    -0.3623735      0.036061 
       1.93       2.322           7        20.0      1500.0     2.5919801    -3.0095062      1.982703    -0.5561681     0.0568725 
      2.322         2.5           7        20.0      1000.0     2.2408026    -2.7112796     2.0385231    -0.6555507     0.0775562 
        2.5       2.853           7        20.0       750.0     2.2040166    -2.6980998     2.0068295    -0.6229783     0.0698229 
      2.853       3.139           7        20.0       550.0     3.1414158    -4.9402164     3.9251902    -1.3270106     0.1641427 
      3.139       3.489           7        20.0       400.0     1.9438463    -2.2469098     1.7114687    -0.5291187      0.057265 
      3.489       5.191           7        20.0       300.0     -1.307921     5.0164481    -4.2064517     1.5814412    -0.2223714 
[qJ]
{1 JetEta 1 JetPt ([0]+[1]*log10(x)+[2]*pow(log10(x),2)+[3]*pow(log10(x),3)+[4]*pow(log10(x),4)) Correction L5Flavor}
     -5.191      -3.489           7        20.0       300.0    -1.2097584     4.7567167     -3.963858     1.4847585    -0.2083795 
     -3.489      -3.139           7        20.0       400.0     3.0647046    -4.6330575      3.583222    -1.1716948     0.1388191 
     -3.139      -2.853           7        20.0       550.0     3.8058837    -6.3210463     5.0003322    -1.6973658     0.2116587 
     -2.853        -2.5           7        20.0       750.0     2.4866677    -3.1904365     2.3335404    -0.7197525      0.080534 
       -2.5      -2.322           7        20.0      1000.0     2.1756457    -2.5709592     1.9395333    -0.6258305     0.0742305 
     -2.322       -1.93           7        20.0      1500.0      2.351788     -2.521107     1.6400975    -0.4543344     0.0458757 
      -1.93      -1.653           7        20.0      1500.0     1.7738243    -1.4167847     0.8837017    -0.2334653     0.0225319 
     -1.653      -1.305           7        20.0      2000.0     1.6136767    -1.0722613     0.6264803    -0.1522525     0.0132304 
     -1.305      -0.783           7        20.0      2000.0     2.1945753    -2.2360971     1.4777845    -0.4185987     0.0433469 
     -0.783        -0.0           7        20.0      2000.0     2.1667986    -2.1760491     1.4495654    -0.4162854     0.0438201 
        0.0       0.783           7        20.0      2000.0     2.1667986    -2.1760491     1.4495654    -0.4162854     0.0438201 
      0.783       1.305           7        20.0      2000.0     2.1945753    -2.2360971     1.4777845    -0.4185987     0.0433469 
      1.305       1.653           7        20.0      2000.0     1.6136767    -1.0722613     0.6264803    -0.1522525     0.0132304 
      1.653        1.93           7        20.0      1500.0     1.7738243    -1.4167847     0.8837017    -0.2334653     0.0225319 
       1.93       2.322           7        20.0      1500.0      2.351788     -2.521107     1.6400975    -0.4543344     0.0458757 
      2.322         2.5           7        20.0      1000.0     2.1756457    -2.5709592     1.9395333    -0.6258305     0.0742305 
        2.5       2.853           7        20.0       750.0     2.4866677    -3.1904365     2.3335404    -0.7197525      0.080534 
      2.853       3.139           7        20.0       550.0     3.8058837    -6.3210463     5.0003322    -1.6973658     0.2116587 
      3.139       3.489           7        20.0       400.0     3.0647046    -4.6330575      3.583222    -1.1716948     0.1388191 
      3.489       5.191           7        20.0       300.0    -1.2097584     4.7567167     -3.963858     1.4847585    -0.2083795 
